Region;CX;CY
15;60952;4789985
15;83753;4827530
15;55522;4784345
15;33018;4764850
15;39949;4777421
15;46105;4807133
15;-8209;4778862
15;6582;4760707
15;44033;4806277
15;581;4775215
15;18735;4790002
15;32232;4753848
15;66660;4771488
15;15874;4778142
15;17946;4778998
15;54090;4764348
15;21087;4752633
15;-990;4781362
15;72171;4806261
15;56375;4754135
15;9876;4792649
15;2730;4791151
15;59446;4754921
15;13585;4760207
15;30529;4800213
15;5655;4775857
15;83382;4808467
15;55456;4797415
15;63659;4757634
15;21444;4757635
15;106810;4826868
15;50947;4748492
15;3658;4790079
15;16022;4794218
15;40950;4777350
15;63947;4775702
15;22671;4802789
15;89151;4776910
15;15514;4759064
15;15735;4790217
15;13237;4797435
15;51304;4753492
15;7444;4786790
15;32947;4749776
15;46033;4806133
15;39376;4769421
15;8513;4773641
15;84825;4828457
15;-9923;4783008
15;21374;4770710
30;587000;4193000
30;602000;4206000
30;598000;4220000
30;674000;4240000
30;609000;4171000
30;592000;4192000
30;589000;4227000
30;673000;4198000
30;597000;4194000
30;586000;4205000
30;565000;4219000
30;635000;4220000
30;645000;4243000
30;648000;4285000
30;612000;4212000
30;671000;4240000
30;616000;4196000
30;617000;4206000
30;594000;4219000
30;604000;4208000
30;628000;4199000
30;566000;4213000
30;661000;4258000
30;593000;4192000
30;647000;4227000
30;656000;4195000
30;604000;4224000
30;660000;4257000
30;596000;4190000
30;664000;4199000
30;598000;4210000
30;592000;4180000
30;567000;4202000
30;572000;4210000
30;634000;4190000
30;642000;4224000
30;649000;4275000
30;617000;4202000
30;585000;4211000
30;649000;4284000
30;664000;4218000
30;599000;4207000
30;590000;4197000
30;642000;4221000
30;612000;4187000
30;632000;4168000
30;592000;4197000
30;630000;4190000
30;634000;4257000
30;607000;4227000
