"xmin" "xmax" "ymin" "ymax" "tile"
-10.833341 -6.32500947 41.93335256 45.60835109 "A_8"
-10.833341 -6.32500947 38.25835403 41.93335256 "A_9"
-10.833341 -6.32500947 34.5833555 38.25835403 "A_10"
-6.32500947 -1.81667794 41.93335256 45.60835109 "B_8"
-6.32500947 -1.81667794 38.25835403 41.93335256 "B_9"
-6.32500947 -1.81667794 34.5833555 38.25835403 "B_10"
-1.81667794 2.69165359 41.93335256 45.60835109 "C_8"
-1.81667794 2.69165359 38.25835403 41.93335256 "C_9"
-1.81667794 2.69165359 34.5833555 38.25835403 "C_10"
2.69165359 7.19998512 41.93335256 45.60835109 "D_8"
2.69165359 7.19998512 38.25835403 41.93335256 "D_9"
